movie_id,movie_name,release_date,genre,mpaa,open_theater,prod_budget,country_usa,opening_weekend,us_total_gross,user_rating,votes_user,metascore,votes_critic,MPAA1,MPAA2,MPAA3,MPAA4,MPAA5,MPAA6,genre_type
737,Percy Jackson: Sea of Monsters,8/7/2013,Fantasy,PG,2.907,90,1,14.401054,68.558662,5.9,71.12,39,6,0,0,1,0,0,0,2
738,Philomena,11/22/2013,Drama,PG-13,.004,12,1,.128435,37.707719,7.7,60.279,76,3,0,0,0,1,0,0,5
741,Planes,8/9/2013,Animation,PG,3.702,50,1,22.232291,90.28258,5.7,29.614,39,14,0,0,1,0,0,0,3
744,Prisoners,9/20/2013,Action Thriller,R,3.26,46,1,20.817053,60.962878,8.1,275.199,74,14,0,0,0,0,1,0,6
746,The Purge,6/7/2013,Thriller,R,2.536,3,1,34.05836,64.42364999999999,5.6,105.716,41,14,0,0,0,0,1,0,6
747,Quartet,1/11/2013,Comedy,PG-13,.002,11,0,.047122,18.381787,6.8,13.097,64,3,0,0,0,1,0,0,4
748,R.I.P.D.,7/19/2013,Action / Adventure,PG-13,2.852,130,1,12.691415,33.592415,5.6,76.242,25,67,0,0,0,1,0,0,1
752,Red 2,7/19/2013,Action Comedy,PG-13,3.016,84,1,18.048422,53.215979,6.7,101.816,47,3,0,0,0,1,0,0,4
757,Riddick,9/6/2013,Sci-Fi Fantasy,R,3.107,38,1,19.030375,41.99779,6.4,104.515,49,28,0,0,0,0,1,0,2
759,Runner Runner,10/4/2013,Thriller,R,3.026,30,1,7.706712,19.316646,5.6,45.315,36,22,0,0,0,0,1,0,6
760,Rush (2013),9/20/2013,Action Drama,R,.005,38,0,.187289,26.903709,8.199999999999999,226.79,75,3,0,0,0,0,1,0,5
761,Safe Haven,2/14/2013,Romance,PG-13,3.223,28,1,21.401594,71.34693,6.7,57.225,34,6,0,0,0,1,0,0,5
762,Salinger,9/6/2013,Documentary,PG-13,.004,2,1,.086956,.575775,6.6,1.596,40,22,0,0,0,1,0,0,7
763,The Sapphires,3/22/2013,Comedy / Drama,PG-13,.004,10,0,.038372,2.448455,7,9.023,67,8,0,0,0,1,0,0,4
